"Created","accx","accy","accz","gyrox","gyroy","gyroz","magnetx","magnety","magnetz","lon","lat","error","speed","altitude","mode","pressure"
"2019-07-28 09:00:20.155","6.3441854","-7.404163","3.2486606","-0.50832385","0.12017436","0.7792802","-11.043003","28.94928","-29.707954","-81.1972809","28.5981461","3.0","1.082","-7.601409912109375","on_foot",
"2019-07-28 09:00:20.656","2.5425606","-8.61388","0.96768606","0.5060734","0.28227556","-2.2966413","-29.883976","17.615189","-26.972466","-81.1972809","28.5981461","3.0","1.082","-7.601409912109375","on_foot",
"2019-07-28 09:00:21.157","6.734648","-9.363665","2.0078027","-0.6608429","-0.07928555","1.585951","-19.585453","26.6689","-28.028313","-81.197292","28.5981429","3.118","0.866","-7.8824462890625","on_foot",
"2019-07-28 09:00:21.657","3.232458","-10.11824","2.7053661","0.7743333","-0.23332262","-2.6897237","-6.909403","31.825989","-28.713234","-81.197292","28.5981429","3.118","0.866","-7.8824462890625","on_foot",
"2019-07-28 09:00:22.158","6.9454503","-6.227983","-1.1278785","-0.30296752","-0.37788418","2.197439","-35.63507","13.353546","-23.406181","-81.1973063","28.598139","3.092","1.122","-8.4593505859375","on_foot",
"2019-07-28 09:00:22.657","7.5467153","-8.788751","1.3615026","-0.029061707","0.5429455","0.17801882","-15.384151","27.31578","-31.494934","-81.1973063","28.598139","3.092","1.122","-8.4593505859375","on_foot",
"2019-07-28 09:00:23.159","5.433903","-10.084704","0.8862398","0.11895663","0.00931775","-1.3453345","-36.398594","11.300308","-25.405762","-81.1973191","28.5981343","3.049","1.26","-8.9034423828125","on_foot",
"2019-07-28 09:00:23.658","6.89275","-10.762625","1.3552744","-0.6464352","-0.16300997","1.3295687","-27.915897","19.156967","-30.161415","-81.1973191","28.5981343","3.049","1.26","-8.9034423828125","on_foot",
"2019-07-28 09:00:24.158","2.7964811","-9.0474615","2.9372485","-0.55370396","-0.4759737","-2.328147","-35.92431","20.726303","-15.831535","-81.1973274","28.598131","3.0","1.266","-8.567657470703125","on_foot",
"2019-07-28 09:00:24.658","5.038649","-10.041585","0.9902035","1.1356442","-0.5759061","2.553583","-45.499054","-1.6812592","-10.990257","-81.1973274","28.598131","3.0","1.266","-8.567657470703125","on_foot",
"2019-07-28 09:00:25.159","5.728547","-10.654827","4.4765825","-0.55836457","0.5265139","1.1133468","-19.042141","34.7097","-24.012138","-81.1973329","28.5981288","3.0","1.11","-8.401275634765625","on_foot",
"2019-07-28 09:00:25.659","4.904503","-12.101696","2.584634","-0.40778953","0.019080913","-0.12017501","-45.89241","-7.5874634","-5.2440567","-81.1973329","28.5981288","3.0","1.11","-8.401275634765625","on_foot",
"2019-07-28 09:00:26.160","5.9728856","-11.0285225","4.4301105","-1.0865487","0.19876418","2.0380752","-21.161682","32.605865","-25.194954","-81.1973379","28.5981262","3.06","0.8780001","-8.3590087890625","on_foot",
"2019-07-28 09:00:26.661","1.0645503","-7.375417","1.2905966","0.51635325","-0.07820968","-2.9263985","-41.428436","2.9064941","-7.224045","-81.1973379","28.5981262","3.06","0.8780001","-8.3590087890625","on_foot",
"2019-07-28 09:00:27.162","7.838964","-8.247373","1.6896832","-0.39354157","-0.3067939","1.6123962","-31.55044","11.294632","-0.34894562","-81.1973443","28.5981207","3.219","0.61800003","-8.1378173828125","on_foot",
"2019-07-28 09:00:27.662","0.8034431","-8.520456","2.1366794","1.1049113","-0.07141332","-2.463781","-13.956139","14.699646","1.3389282","-81.1973443","28.5981207","3.219","0.61800003","-8.1378173828125","on_foot",
"2019-07-28 09:00:28.162","6.6987157","-7.734739","0.6145925","0.19914436","-0.34485576","3.2472827","-23.214062","20.041595","-18.167366","-81.1973541","28.5981107","3.165","1.056","-6.521453857421875","on_foot",
"2019-07-28 09:00:28.662","7.5730653","-10.178127","4.1838555","0.15917034","0.6161452","-0.7499588","-0.090657234","30.285385","-22.377724","-81.1973541","28.5981107","3.165","1.056","-6.521453857421875","on_foot",
"2019-07-28 09:00:29.163","15.777579","-1.8514438","7.483388","-0.26693508","-0.42218846","-0.75869393","-39.78591","-3.9434662","-17.96653","-81.197368","28.5980963","3.0","1.246","-6.689605712890625","on_foot",
"2019-07-28 09:00:29.665","7.0891786","3.22218","1.7236992","-3.9146633","-1.0244299","-2.3777084","-26.991385","-33.63678","-5.140106","-81.197368","28.5980963","3.0","1.246","-6.689605712890625","on_foot",
"2019-07-28 09:00:30.165","6.634038","-6.9106946","-0.44804174","0.7118025","-0.14952372","1.4601967","-38.14292","-22.381943","-8.682335","-81.1973767","28.5980881","3.0","1.4660001","-6.928070068359375","on_foot",
"2019-07-28 09:00:30.666","5.8794622","-8.321631","0.20784025","-0.9724857","0.58351076","2.1803145","-38.168144","15.506485","-16.868202","-81.1973767","28.5980881","3.0","1.4660001","-6.928070068359375","on_foot",
"2019-07-28 09:00:31.165","6.2555523","-7.9096093","3.325316","0.6618683","0.6819571","-0.8956602","-22.829811","26.027786","-28.138649","-81.1973856","28.5980814","3.0","1.5379999","-6.963653564453125","on_foot",
"2019-07-28 09:00:31.665","5.881858","-8.38631","2.5530136","0.11453579","-0.122897446","-0.39852846","-36.4519","7.256607","-23.470695","-81.1973856","28.5980814","3.0","1.5379999","-6.963653564453125","on_foot",
"2019-07-28 09:00:32.168","4.7032824","-9.68945","3.0666041","-0.14610754","0.119593814","0.93494165","-17.944464","26.42044","-28.571327","-81.1973944","28.5980758","3.0","1.45","-6.485565185546875","on_foot",
"2019-07-28 09:00:32.668","13.274303","-11.689674","5.608686","1.9304905","0.09403278","-2.8734553","-14.886118","29.948532","-26.208488","-81.1973944","28.5980758","3.0","1.45","-6.485565185546875","on_foot",
"2019-07-28 09:00:33.168","8.82111","-3.0923016","8.355342","-1.0718216","0.10455759","0.6434058","1.4661808","-29.585144","-29.729675","-81.1974024","28.5980714","3.0","1.028","-6.24652099609375","on_foot",
"2019-07-28 09:00:33.668","7.3215404","-6.6711464","9.239753","1.1873628","0.0661176","0.1949832","-14.161114","11.418213","-37.74173","-81.1974024","28.5980714","3.0","1.028","-6.24652099609375","on_foot",
"2019-07-28 09:00:34.168","5.5776315","-13.776136","3.3650806","2.068602","-1.2035646","0.9378713","-39.08686","-21.551651","-4.2636642","-81.1974091","28.5980672","3.0","0.89","-6.12225341796875","on_foot",
"2019-07-28 09:00:34.668","8.828296","-6.6807284","0.7113698","0.10148635","0.38955817","1.8401494","-21.935535","36.840225","-8.185562","-81.1974091","28.5980672","3.0","0.89","-6.12225341796875","on_foot",
"2019-07-28 09:00:35.169","-5.889524","-10.762625","0.05932057","1.6605263","0.4280675","-5.4049206","-41.395107","7.815506","-14.050705","-81.1974138","28.5980638","3.0","0.73","-6.512603759765625","on_foot",
"2019-07-28 09:00:35.670","8.306082","-8.479733","2.4667764","-2.5372777","0.17997317","2.4474294","-32.99185","15.468536","-22.21791","-81.1974138","28.5980638","3.0","0.73","-6.512603759765625","on_foot",
"2019-07-28 09:00:36.171","-0.7081039","-8.961225","-0.091594584","2.0939288","0.051853944","-3.8174384","-33.283314","15.159378","-17.903702","-81.1974187","28.5980586","3.0","0.734","-6.500885009765625","on_foot",
